docid,title,text,label,category
182,Parity learning," parity learning be a problem in machine learning . an algorithm that solve this problem must find a function ƒ , give some sample ( x ,    ƒ(x ) ) and the assurance that ƒ compute the parity of bit at some fix location . the sample be generate use some distribution over the input . the problem be easy to solve use gaussian elimination provide that a sufficient number of sample ( from a distribution which be not too skewed ) be provide to the algorithm . ",data mining,Machine learning
183,Learning with errors," in machine learning , a subfield of computer science , learn with error ( lwe ) be the problem to infer a linear n - ary function f over a finite ring from give sample y_i = f(\mathbf{x}_i ) some of which may be erroneous . 
 the lwe problem be conjecture to be hard to solve , and thus be useful in cryptography . 

 more precisely , an algorithm be say to solve the lwe problem if , when give access to sample ( x , y ) where x\in \mathbb{z}_q^n ( a vector of n integer modulo q ) and y \in \mathbb{z}_q , with the assurance , for some fix linear function f:\mathbb{z}_q^n \rightarrow \mathbb{z}_q , that y = f(x ) with high probability and deviate from it accord to some know noise model , the algorithm can recreate f or some close approximation of it with high probability . 

 the lwe problem be introduce by oded regev in 2005 ( who win the 2018 gödel prize for this work ) , it be a generalization of the parity learning problem . regev show that the lwe problem be as hard to solve as several bad - case lattice problem . subsequently , the lwe problem have be use as a hardness assumption to create public - key cryptosystem , oded regev , "" on lattice , learn with error , random linear code , and cryptography , "" in proceeding of the thirty - seventh annual acm symposium on theory of computing ( baltimore , md , usa : acm , 2005 ) , 84–93 , http://portal.acm.org/citation.cfm?id=1060590.1060603.chris peikert , "" public - key cryptosystem from the bad - case short vector problem : extend abstract , "" in proceeding of the 41st annual acm symposium on theory of computing ( bethesda , md , usa : acm , 2009 ) , 333–342 , http://portal.acm.org/citation.cfm?id=1536414.1536461 . such as the ring learn with error key exchange by peikert . ",data mining,Machine learning
184,Alberto Broggi, alberto broggi be general manager at vislab srl ( spinoff of the university of parma acquire by silicon - valley company ambarella inc. on june 2015)https://www.ambarella.com / news/79/122/ambarella - acquires - vislab - a - european - developer - of - computer - vision - and - intelligent - automotive - control - systems and   a professor of computer engineering at the university of parma in italy . ,data mining,Machine learning researchers
185,MeeMix," meemix ltd be a company specialize in personalize medium - relate content recommendation , discovery and advertising for the telecommunication industry , found in 2006 . 

 on january 1 , 2008 , meemix launch meemix.com , a public personalize internet radiotechcrunch reviewventurebeat reviewbusinesshacker review serve as an online testbed for the development of music taste - prediction technology . about meemix   subsequently , meemix release in 2009 a line of business - to - business commercial service intend to personalize medium recommendation , discovery and advertising . meemix hybrid taste - prediction technology rely on integrate machine learn algorithm , digital signal processing , behavior analysis , metadata analysis and collaborative filtering , and be provide via api web service . meemix technology 

 in august 2009 , meemix be announce as innovator nominee in the gsm association ’s mobile innovation grand prix worldwide contest . gsma grand prix 

 as of 2013 , meemix no longer feature internet radio on meemix.com . on sep 28 , 2014 , meemix.com go offline . ",data mining,Data mining and machine learning software
186,MEX file," a mex file be a type of computer file that provide an interface between matlab or octave and function write in c , c++ or fortran . It stand for "" matlab executable "" . 
 when compile , mex file be dynamically load and allow external function to be invoke from within matlab or octave as if they be build - in function . 

 to support the development of mex file , both matlab and octave offer external interface function that facilitate the transfer of datum between mex file and the workspace . in addition to mex file , octave have its own format use its own native api , with good performance.https://www.gnu.org/software/octave/doc/interpreter/mex_002dfiles.html ",data mining,Data analysis software
187,Speakeasy (computational environment)," speakeasy be a numerical compute interactive environment also feature an interpreted programming language . It be initially develop for internal use at the physics division of argonne national laboratory by the theoretical physicist stanley cohen.""an introduction to speakeasy - informal report He eventually found speakeasy computing corporation to make the program available commercially . 

 speakeasy be a very long - last numerical package . in fact , the original version of the environment be build around a core dynamic datum repository call "" name storage "" develop in the early 1960s,""named storage : a dynamic storage - allocation scheme with manipulative routine "" , aec research and development report - volume 7021 anl ( series ) - stanley cohen , physics division , u.s. atomic energy commission , argonne national laboratory , 1965.""speakeasy - an evolutionary system "" , s. cohen ,   proceedings of the acm sigplan symposium on very high level language ( march 1974 ) while the most recent version have be release in 2006 . 

 speakeasy be aim to make the computational work of the physicist at the argonne national laboratory easier . It be initially conceive to work on mainframe ( the only kind of computer at that time ) , and be subsequently port to new platform ( minicomputer , personal computer ) as they become available . the porting of the same code on different platform be make easy by use mortran metalanguage macro to face system dependency and compiler deficiency and differences.""us mortran to translate fortran program from one machine to another "" 
 steven c. pieper , argonne national laboratory , 1976 speakeasy be currently available on several platform : pc run windows , macos , linux , departmental computer and workstation run several flavor of linux , aix or solaris . 

 speakeasy be also among the first interactive numerical computing environment , have be implement in such a way on a cdc 3600 system , and later on ibm tso machine as one be in beta - testing at the argonne national laboratory at the time . 

 almost since the beginning ( as the dynamic linking functionality be make available in the operating system ) speakeasy feature the capability of expand its operational vocabulary use separate module , dynamically link to the core processor as they be need . for that reason such module   be call "" linkule "" ( linkable - modules).""speakeasy linkule - plug compatible software "" acm - proceeding of the 1977 annual conference They be function with a generalize interface , which can be write in   fortran or in c. 
 the independence of each of the new module from the other and from the main processor be of great help in improve the system , especially it be in the old day . 

 this easy way of expand the functionality of the main processor be often exploit by the user to develop their own specialized package . besides the program , function and subroutine the user can write in the speakeasy 's own interpreted language , linkule add functionality carry out with the typical performance of compile program . 

 among the package develop by the user , one of the most important be "" modeleasy "" , originally develop as "" fedeasy""""econometric model via speakeasy / fedeasy "" , james m. condie , john w. davison , 1975 in the early 1970 at the research department of the federal reserve board of governors in washington d.c .. 
 modeleasy implement special object and function for large econometric model estimation and simulation . 
 Its evolution lead eventually to its distribution as an independent product . ",data mining,Data analysis software
188,Product of experts," product of expert ( poe ) be a machine learning technique . It model a probability distribution by combine the output from several simple distribution . It be propose by geoff hinton , along with an algorithm for train the parameter of such a system . 

 the core idea be to combine several probability distribution ( "" expert "" ) by multiply their density function — make the poe classification similar to an "" and "" operation . this allow each expert to make decision on the basis of a few dimension without have to cover the full dimensionality of a problem . 

 this be relate to ( but quite different from ) a mixture model , where several probability distribution be combine via an "" or "" operation , which be a weighted sum of their density function . ",data mining,Machine learning
189,KNIME," knime ( ) , the konstanz information miner , be a free and open - source data analytic , reporting and integration platform . knime integrate various component for machine learning and datum mining through its modular datum pipelin concept . a graphical user interface and use of jdbc allow assembly of node blend different datum source , include preprocessing ( etl : extraction , transformation , loading ) , for modeling , datum analysis and visualization without , or with only minimal , programming . to some extent as advanced analytic tool knime can be consider as a sas alternative . 

 since 2006 , knime have be use in pharmaceutical research , it also use in other area like crm customer datum analysis , business intelligence and financial datum analysis . ",data mining,Data mining and machine learning software
190,Learning to rank," learn to rank . slide from tie - yan liu 's talk at www 2009 conference be available online 
  or machine - learn ranking ( mlr ) be the application of machine learning , typically supervised , semi - supervised or reinforcement learning , in the construction of ranking model for information retrieval system . mehryar mohri , afshin rostamizadeh , ameet talwalkar ( 2012 ) foundation of machine learning , the 
 mit press . training datum consist of list of item with some partial order specify between item in each list . this order be typically induce by give a numerical or ordinal score or a binary judgment ( e.g. "" relevant "" or "" not relevant "" ) for each item . the ranking model 's purpose be to rank , i.e. produce a permutation of item in new , unseen list in a way which be "" similar "" to ranking in the training datum in some sense . ",data mining,Machine learning
191,Andrew Ng," andrew yan - tak ng (; bear 1976 ) be a chinese - american computer scientist know as one of the most prolific researcher in machine learning and ai , with his work help incite the recent revolution in deep learning . also a business executive and investor in the   silicon valley , ng co - found and lead google brain and be a former vice president and chief scientist at baidu , build the company 's artificial intelligence group into a team of several thousand people . 

 ng be an adjunct professor at stanford university ( formerly associate professor and director of its ai lab ) . also a pioneer in online education , ng co - found coursera and deeplearning.ai . with his online course , he have successfully spearhead many effort to "" democratize deep learning . "" since 2018 he launch and currently head ai fund , initially a $ 175-million investment fund for back artificial intelligence startup . He have found landing ai , which provide ai - power saas product and transformation program to empower enterprise into cut - edge ai company . ",data mining,Machine learning researchers
192,Encog," encog be a machine learn framework available for java and .net . j. heaton http://www.jmlr.org/papers/volume16/heaton15a/heaton15a.pdf encog : library of interchangeable machine learning models for java and c # 
 encog support different learning algorithm such as   bayesian networks , hidden markov models and support vector machines . 
 however , its main strength lie in its neural network algorithm . encog contain class to create a wide variety of network , as well as support class to normalize and process datum for these neural network . encog train use many different technique .   multithreading be use to allow optimal training performance on multicore machine . 

 encog can be use for many task , include medicald. heider , j. verheyen , d. hoffmann http://www.biomedcentral.com/content/pdf/1471-2105-11-37.pdf predicting bevirimat resistance of hiv-1 from genotype and financial research . j. heaton http://www.devx.com/opensource/article/44014/1954 basic market forecasting with encog neural networks a gui base workbench be also provide to help model and train neural network .   encog have be in active development since 2008.http://www.heatonresearch.com/encog description of encog project . ",data mining,Data mining and machine learning software
193,PVLV," the primary value learn value ( pvlv ) model be a possible explanation for the reward - predictive firing property of dopamine ( da ) neuron . It simulate behavioral and neural datum on pavlovian conditioning and the midbrain dopaminergic neuron that fire in proportion to unexpected reward . It be an alternative to the temporal - difference ( td ) algorithm . 
 It be use as part of leabra . ",data mining,Machine learning algorithms
194,Andrei Knyazev (mathematician)," andrei ( andrew ) knyazev ( ) be a russian - american mathematician . He graduate from the faculty of computational mathematics and cybernetic of moscow state university under the supervision of evgenii georgievich d'yakonov ( ) in 1981 and obtain his phd in numerical mathematics at the russian academy of sciences under the supervision of vyacheslav ivanovich lebedev ( ) in 1985 . He work at the kurchatov institute in 1981 - 1983 , and then to 1992 at the marchuk institute of numerical mathematics ( ) of the russian academy of sciences , head by gury marchuk ( ) . 

 in 1993 - 1994 , knyazev hold a visit position at the courant institute of mathematical sciences of new york university , collaborate with olof b. widlund . 
  from 1994 until retirement in 2014 , he be a professor of mathematics at the university of colorado denver , support by the national science foundationknyazev 's nsf award and united states department of energy grant . He be a recipient of the 2008 excellence in research award , 
  the 2000 college teaching excellence award , and a finalist of the cu president 's faculty excellence award for advancing teaching and learning through technology in 1999 . 
 
 He be award the title of professor emeritus at the university of colorado denver 
 
 and name the siam fellow class of 2016 

 and 
 ams   fellow class of 2019 . 


 in 2012 - 2018 , knyazev hold a distinguished research scientist position at the mitsubishi electric research laboratories ( merl).andrew knyazev move to merl , 2012 His research at merl be on algorithm for image and video processing , data science , optimal control , material science , and numerical simulation of complex phenomenon , result in publication and 13 patent application . knyazev 's websiteat mitsubishi electric research laboratories 

 knyazev be mostly know for his work in numerical solution of large sparse eigenvalue problem , particularly precondition 
  and the iterative method lobpcg . 
  knyazev 's reference implementation of lobpcg be available in the public software package blopex and , e.g. , the electronic structure calculation library abinit for wavefunction parallel optimization . 


 knyazev collaborate with john osborn 


 on the theory of the ritz method in the finite element method context 
 and with nikolai sergeevich bakhvalov ( ) ( erdős number 3 via leonid kantorovich ) on numerical solution of elliptic partial differential equation with large jump in the main coefficient . 

 jointly with his ph.d. student , knyazev pioneer use majorization for bound in the rayleigh – ritz method 
 ( see 
  and reference there ) and contribute to the theory of angle between flat . 

 ",data mining,Machine learning researchers
195,Evolutionary multimodal optimization," in applied mathematic , multimodal optimization deal with optimization task that involve find all or most of the multiple ( at least locally optimal ) solution of a problem , as oppose to a single good solution . 
 evolutionary multimodal optimization be a branch of evolutionary computation , which be closely related to machine learning . wong provide a short survey , wong , k. c. ( 2015 ) , evolutionary multimodal optimization : a short survey arxiv preprint arxiv:1508.00457 wherein the chapter of shirshir , o.m. ( 2012 ) , niching in evolutionary algorithms and the book of preusspreuss , mike   ( 2015 ) , multimodal optimization by means of evolutionary algorithms cover the topic in more detail . ",data mining,Machine learning algorithms
196,GeneRec," generec be a generalization of the recirculation algorithm , and approximate almeida - pineda recurrent backpropagation . o'reilly , r.c. biologically plausible error - drive learning use local activation differences : the generalized recirculation algorithm . neural computation , 8 , 895 - 938 . abstract pdfgenerec description in computational exploration in cognitive neuroscience : understand the mind by randall c. o'reilly , yuko munakata It be use as part of the leabra algorithm for error - drive learning . leabra overview in emergent 
 the symmetric , midpoint version of generec be equivalent to the contrastive hebbian learning algorithm ( chl ) . ",data mining,Machine learning algorithms
197,Almeida–Pineda recurrent backpropagation," almeida – pineda recurrent backpropagation be an extension to the backpropagation algorithm that be applicable to recurrent neural network . It be a type of supervised learning . It be describe somewhat cryptically in richard feynman 's senior thesis , and rediscover independently in the context of artificial neural network by both fernando pineda and luis b. almeida . 
 a recurrent neural network for this algorithm consist of some input unit , some output unit and eventually some hide unit . 

 for a give set of ( input , target ) state , the network be train to settle into a stable activation state with the output unit in the target state , base on a give input state clamp on the input unit . ",data mining,Machine learning algorithms
198,Error-driven learning, error - drive learning be a sub - area of machine learning concerned with how an agent ought to take action in an environment so as to minimize some error feedback . It be a type of reinforcement learning . ,data mining,Machine learning algorithms
199,Prefrontal cortex basal ganglia working memory," prefrontal cortex basal ganglion work memory ( pbwm ) be an algorithm that model work memory in the prefrontal cortex and the basal ganglion . It can be compare to long short - term memory ( lstm ) in functionality , but be more biologically explainable . 

 It use the primary value learn value model to train prefrontal cortex work - memory updating system , base on the biology of the prefrontal cortex and basal ganglion . 

 It be use as part of the leabra framework and be implement in emergent . ",data mining,Machine learning algorithms
200,ELKI," elki ( for environment for developing kdd - applications support by index - structures ) be a knowledge discovery in database ( kdd , "" datum mining "" ) software framework develop for use in research and teaching originally at the database system research unit of professor hans - peter kriegel at the ludwig maximilian university of munich , germany . It aim at allow the development and evaluation of advanced datum mining algorithm and their interaction with database index structure . ",data mining,Data mining and machine learning software
201,Local outlier factor," in anomaly detection , the local outlier factor ( lof ) be an algorithm propose by markus m. breunig , hans - peter kriegel , raymond t. ng and jörg sander in 2000 for find anomalous datum point by measure the local deviation of a give data point with respect to its neighbour . 

 lof share some concept with dbscan and optics such as the concept of "" core distance "" and "" reachability distance "" , which be use for local density estimation . ",data mining,Data mining
0,Davy lamp," the davy lamp be a safety lamp for use in flammable atmosphere , invent in 1815 by sir humphry davy . brief history of the miner 's flame safety lamp at minerslamps.net . accessed 7 july 20121 It consist of a wick lamp with the flame enclose inside a mesh screen . It be create for use in coal mine , to reduce the danger of explosion due to the presence of methane and other flammable gas , call firedamp or minedamp . ",real mining,
1,International Seabed Authority," the international seabed authority ( isa ) ( ) be an intergovernmental body base in kingston , jamaica , that be establish to organize , regulate and control all mineral - relate activity in the international seabed area beyond the limit of national jurisdiction , an area underlie most of the world ’s ocean . It be an organization establish by the united nations convention on the law of the sea . chronological list of ratification of , accession and succession to the convention and the related agreements . un : regularly update . ",real mining,
2,Mining," mining be the extraction of valuable mineral or other geological material from the earth , usually from an ore body , lode , vein , seam , reef or placer deposit . these deposit form a mineralize package that be of economic interest to the miner . 

 ores recover by mining include metal , coal , oil shale , gemstone , limestone , chalk , dimension stone , rock salt , potash , gravel , and clay . mining be require to obtain any material that can not be grow through agricultural process , or feasibly create artificially in a laboratory or factory . mining in a wide sense include extraction of any non - renewable resource such as petroleum , natural gas , or even water . 

 mining of stone and metal have be a human activity since pre - historic time . modern mining process involve prospect for ore body , analysis of the profit potential of a propose mine , extraction of the desire material , and final reclamation of the land after the mine be close . de re metallica , georgius agricola , 1550 , book i , para . 1 

 mining operation usually create a negative environmental impact , both during the mining activity and after the mine have close . hence , most of the world 's nation have pass regulation to decrease the impact . work safety have long be a concern as well , and modern practice have significantly improve safety in mine . 

 level of metal recycling be generally low . unless future end - of - life recycling rate be step up , some rare metal may become unavailable for use in a variety of consumer product . due to the low recycling rate , some landfill now contain high concentration of metal than mine themselves . ",real mining,
3,"Tanfield, County Durham"," tanfield be a former mining village in county durham , england , near stanley , and the location of tanfield railway , the causey arch and tanfield school . 
 ",real mining,
4,Vieille Montagne," vieille montagne be the name of a former zinc mine in kelmis ( la calamine ) , a town in belgium between liège and aachen .   the mine 's name be french for "" the old mountain "" , and this be also reflect in its german name , altenberg ( earlier , alten galmei - berg).hoch , charles ( 1882 ) , the neutral territory of moresnet , tran . william warren tucker , p 6 the mine be once a bone of contention between prussia on the one side and the united kingdom of the netherlands ( later belgium ) on the other , that result in a piece of land that become the territory of neutral moresnet . ",real mining,
5,Sutter's Mill," sutter 's mill be a sawmill , own by 19th - century pioneer john sutter , where gold be find , set off the california gold rush , a major event of the history of the united states . It be locate on the bank of the south fork american river in coloma , california and be nowadays part of the marshall gold discovery state historic park . ",real mining,
6,Pilbara Iron," pilbara iron be a wholly owned subsidiary of the multinational rio tinto group , that manage asset for hamersley iron pty ltd , a wholly owned subsidiary of rio tinto , and robe river iron associates , an unincorporated joint venture between rio ( 53 % and operator since 2000 ) and three japanese steel company mitsui iron ore development p / l ( 33 % ) , nippon steel australia p / l ( 10.5 % ) and sumitomo metal australia p / l ( 3.5%).robe river | about robe access 1 october 2007 

 all of these company be involve in the mining of iron ore , predominantly from the pilbara region of western australia . 

 in 2004 , rio tinto announce that robe and hamersley would start merge operation under the new pilbara iron entity . rio tinto and robe river progress on pilbara cooperation , 13 january 2004    the concept have be test by the formation of pilbara rail in 2001 , which generate more than $ 16 million in saving . pilbara rail be fold into pilbara iron in 2005 . 
  each company continue to market product separately and retain ownership and profit from the underlie mine , as well as strategic development of their own mineral resource . pilbara iron - about Us access 1 october 2007   ",real mining,
7,Colorado Mineral Belt," the colorado mineral belt ( cmb ) be an area of ore deposit from the la plata mountains in southwestern colorado to near the middle of the state at boulder , colorado and from which over 25 million troy ounce ( 778 t ) of gold be extract beginning in 1858 .   the belt be a "" northeast - strike zone define by : a proterozoic shear zone system ( mccoy , 2001 ) ; a suite of laramide - age pluton and related ore deposit ( tweto and sims , 1963 ) ; a major gravity low ( isaacson and smithson , 1976 ) ; low - crustal velocity ; and high heat flow ( decker et al . , 1988 ) . "" 	 cd - rom working group , structure and evolution of the lithosphere beneath the rocky mountains : initial result from the cd - rom experiment . gsa today 12 , # 3 , p.    4 - 10 , 2002 .     mining district include : 

 central city - idaho springs district 
 leadville mining district , name for leadville , colorado 
 sneffels - red mountain - telluride district 

 the belt lie within a zone that have be geologically active at interval begin from near the time of crustal accretion in central colorado at least 1.6 billion year ago until the present . part of the cmb follow shear zone of precambrian age and the paleozoic and mesozoic . igneous rock intrude about 60 to 70 million year ago during the laramide orogeny be associate with the belt and once be think to be responsible for most of the ore deposit .   now many of the important ore deposit be think to be genetically relate to young magmatism , some at least as young as about 25 million year . ",real mining,
8,Pike's Peak Gold Rush," the pike 's peak gold rush ( later know as the colorado gold rush ) be the boom in gold prospecting and mining in the pike 's peak country of western kansas territory and southwestern nebraska territory of the united states that begin in july 1858 and last until roughly the creation of the colorado territory on february 28 , 1861 . an estimate 100,000 gold seeker take part in one of the great gold rush in north american history . 

 the participant in the gold rush be know as "" fifty - niners "" after 1859 , the peak year of the rush and often use the motto pike 's peak or bust ! in fact , the location of the pike 's peak gold rush be center   north of pike 's peak . the name pike 's peak gold rush be use mainly because of how well know and important pike 's peak be at the time . ",real mining,
9,Groom Lake (salt flat)," groom lake be a dry lake .   also describe as a salt flat , it be locate in nevada , and use for runway of the nellis bombing range test site airport ( kxta ) . part of the area 51 usaf installation , it lie at an elevation of   and be approximately   from north to south and   from east to west at its wide point , and be approximately 11.3 mile in circumference . locate within the namesake groom lake valley portion of the tonopah basin , the lake be   south of rachel , nevada . dreamland : fifty years of secret flight testing in nevada by peter w. merlin 

 the near publicly accessible vantage point be tikaboo peak , 26 mile to the east . there be two close vantage point , dub "" freedom ridge "" and "" white sides "" , but they be close to public access in 1995 to prevent people from take image of the installation . ",real mining,
10,De Beers," de beers group be an international corporation that specialise in diamond exploration , diamond mining , diamond retail , diamond trading and industrial diamond manufacturing sector . the company be currently active in open - pit , large - scale alluvial , coastal and deep sea mining . It operate in 35 country and mining take place in botswana , namibia , south africa and canada . until the start of the 21st century , de beers effectively have total control over the diamond market as a monopoly . competition have since dismantle the complete monopoly , though the de beers group still sell approximately 35 % of the world 's rough diamond production through its global sightholder and auction sale business . the incredible story of how de beers create and lose the most powerful monopoly ever , business insider 

 the company be found in 1888 by british businessman cecil rhodes , who be finance by the south african diamond magnate alfred beit and the london - base n m rothschild & sons bank.https://www.rothschildarchive.org/exhibitions/timeline/ in 1926 , ernest oppenheimer , an immigrant to britain and later south africa who have earlier found mining company anglo american plc with american financier j.p. morgan , be elect to the board of de beers . He build and consolidate the company 's global monopoly over the diamond industry until his death in 1957 . during this time , he be involve in a number of controversy , include price fixing and trust behaviour , and be accuse of not release industrial diamond for the u.s. war effort during world war ii . 

 in 2011 , anglo american take control of de beers after buy the oppenheimer 's family stake of 40 percent for us$ 5.1 billion ( £ 3.2 billion ) and increase its stake to 85 percent , end the 80-year oppenheimer control of the company . in 2018 , de beers become the first diamond company to announce that it would track its diamond use blockchain technology , though this technology have not yet be roll out . ",real mining,
11,Amung people," the amung ( also know as amungme , amuy , damal or uhunduni ) people be a group of about 17,700 people live in the highland of the papua province of indonesia . Their language be call damal . 

 the traditional belief of the amungme people be animistic . the amungme people do not have the idea of "" god "" that be separate from nature where spirit and nature be one and the same . 

 They practice shift agriculture , supplement their livelihood by hunt and gathering . the amungme be very tied to their ancestral land and consider the surround mountain to be sacred . 

 this have lead to friction with the indonesian government , which be eager to exploit the vast mineral deposit contain there . major change in the amungme of the highland and kamoro of the lowland lifestyle have be bring about by the grasberg mine , situate in the heart of amungme territory and own by freeport - mcmoran , the region 's large single employer . extensive gold and copper mining have alter the landscape , and the presence of the mine and its infrastructure have attract numerous other economic migrant from western indonesia as well as other papuans , some of whom have try to settle on traditional amungme land . this have cause land dispute regard customary land right between the amungme people against freeport indonesia mining company in timika . in the last 35 year , the amungme have see their sacred mountain destroy by the mine , and watch as their relative be kill by indonesian soldier "" defend "" it , while the kamoro have more than 200,000 ton of waste pump into their river each day . all these factor have create complex social and political stress , and lead to somewhat frequent protest and/or social conflict , some of which have be violently suppress by the indonesian police or military . ",real mining,
12,Moldova Nouă," moldova nouă (; ; ;   or bošňák ; ) be a town in southwestern romania in caraș - severin county ( the historical region of banat ) , in an area know as clisura dunării . It be locate on the shore of the river danube . the town administer three village : măcești , moldova veche and moldovița . 

 at the 2011 census , 81.2 % of inhabitant be romanians , 12.8 % serbs , 3.2 % roma , 1.3 % hungarians and 0.8 % czechs . at the 2002 census , 88.4 % be romanian orthodox , 4.5 % baptist , 4 % roman catholic and 2 % pentecostal . 

  in romanian   in hungarian in serbian moldova nouă   újmoldova нова молдава măcești   macsevics мачевић moldova veche   ómoldova стара молдава moldovița   kiskárolyfalva молдавица ",real mining,
13,Caransebeș," caransebeș (; ; , hungarian pronunciation : ; ) be a municipality in caraș - severin county , part of the banat region in southwestern romania . It be locate at the confluence of the river timiș with the river sebeș , the latter come from the țarcu mountains . to the west , it be in direct contact with the banat hills . It be an important railroad node , be locate approximately 40    km away from reșița , 21    km from oțelu roșu , 70    km from hațeg and about 25    km from the muntele mic ski resort , in the țarcu mountains . 

 one village , jupa ( ) , be administer by the city . ",real mining,
14,Salt of the Earth (1954 film)," salt of the earth be a 1954 american drama film write by michael wilson , direct by herbert j. biberman , and produce by paul jarrico . all have be blacklist by the hollywood establishment due to their allege involvement in communist politic .. 

 the drama film be one of the first picture to advance the feminist social and political point of view . Its plot center on a long and difficult strike , base on the 1951 strike against the empire zinc company in grant county , new mexico . in the film , the company be identify as "" delaware zinc , "" and the setting be "" zinctown , new mexico . "" the film show how the miner , the company , and the police react during the strike . in neorealist style , the producer and director use actual miner and their family as actor in the film . ",real mining,
15,King Solomon's Mines," { { infobox book 
 | name = king solomon 's mines 
 | image = file : kingsolomonsminesfirstedition.jpg 
 | caption = first edition 
 | author = h. rider haggard 
 | country = united kingdom 
 | language = english 
 | series = allan quatermain series 
 | genre = lose world 
 | publisher = cassell and company 
 | release_date = 1885 
 | page = 320 
 | isbn = 
 | preceded_by = "" magepa the buck "" 
 | followed_by = She : a history of adventure| wikisource = king solomon 's mines 
 } } king solomon 's mines '' ( 1885 ) be a popular novel by the english   victorian adventure writer and fabulist sir h. rider haggard . It tell of a search of an unexplored region of africa by a group of adventurer lead by allan quatermain for the missing brother of one of the party . It be the first english adventure novel set in africa , and be consider to be the genesis of the lose world literary genre . ",real mining,
16,Indiana Jones and the Temple of Doom," indiana jones and the temple of doom be a 1984 american action - adventure film direct by steven spielberg . It be the second installment in the indiana jones franchise and a prequel to the 1981 film raiders of the lost ark , feature harrison ford reprise his role as the title character . after arrive in north india , indiana jones be ask by desperate villager to find a mystical stone and rescue their child from a thuggee cult practice child slavery , black magic and ritualistic human sacrifice in honor of the goddess kali . 

 executive producer and co - writer george lucas make the film a prequel as he do not want the nazis to be the villain again . after three reject plot device , lucas write a film treatment that resemble the film 's final storyline . lawrence kasdan , lucas 's collaborator on raiders of the lost ark , turn down the offer to write the script , and willard huyck and gloria katz be hire as his replacement , with the screenplay partly base upon the 1939 film gunga din . 

 the film be release to financial success but initial review be mixed , criticize its violence . however , critical opinion have improve since 1984 , cite the film 's intensity and imagination . in response to some of the more violent sequence in the film , and with similar complaint about gremlins , spielberg suggest that the motion picture association of america ( mpaa ) alter its rating system , which it do within two month of the film 's release , create a new pg-13 rating . ",real mining,
17,Coltan," coltan ( short for columbite – tantalite and know industrially as tantalite ) be a dull black metallic ore , from which the element niobium and tantalum be extract . the niobium - dominant mineral in coltan be columbite ( after niobium 's original american name columbium ) , and the tantalum - dominant mineral be tantalite . 


 tantalum from coltan be use to manufacture tantalum capacitor , tantalum capacitor be usel for portable telephone , personal computer , automotive electronic and camera . coltan mining 
  have help to finance serious conflict in the democratic republic of congo , for example the ituri conflict and the second congo war . 
 ",real mining,
18,Coal Miner's Daughter (film)," coal miner 's daughter be a 1980 american biographical musical film direct by michael apt from a screenplay write by tom rickman . It follow the story of country music singer loretta lynn from her birth in a poor family and get marry at 15 to her rise as one of the most successful country musician . base on lynn 's 1976 biography of the same name by george vecsey , the film star sissy spacek as lynn . tommy lee jones , beverly d'angelo and levon helm be feature in support role . ernest tubb , roy acuff , and minnie pearl make cameo appearance as themselves . 

 a film on lynn 's life be intend to be make since the release of the biography . production for the film begin on march 1979 , and lynn herself choose spacek to portray her on screen after see a photograph of her despite be unfamiliar with her film . the film 's soundtrack feature all lynn 's hit single which be all sing by spacek as well as patsy cline 's "" sweet dreams "" sing by d'angelo . the soundtrack reach the top 40 in the u.s. on the billboard 200 and sell over 500,000 copy , thus be certify gold by the riaa . 

 coal miner 's daughter be release theatrically on march 7 , 1980 and gross $ 67.18 million in north america against a budget of $ 15 million , become the seventh highest - gross film of 1980 . It garner critical acclaim and receive seven nomination at the 53rd academy awards include for the good picture and win good actress ( for spacek ) . at the 38th golden globe awards , the film receive four nomination and win two : good motion picture – musical or comedy and best actress – musical or comedy ( for spacek ) . ",real mining,
19,"Beckley, West Virginia"," beckley be a city in and the county seat of raleigh county , west virginia , united states . It be found on april 4 , 1838 . beckley be name in honor of john james beckley , who be the first clerk of the house of representatives and the first librarian of congress . It be found by his son , alfred beckley ( us army general and confederate militia commander ) , who be from the district of columbia . the current mayor be rob rappold . ",real mining,
20,Blood diamond," blood diamond ( also call conflict diamond , war diamond , hot diamond , or red diamond ) be a term use for a diamond mine in a war zone and sell to finance an insurgency , an invade army 's war effort , or a warlord 's activity . the term be use to highlight the negative consequence of the diamond trade in certain area , or to label an individual diamond as have come from such an area . diamond mine during the recent civil war in angola , ivory coast , sierra leone , liberia , guinea , and guinea bissau have be give the label . conflict diamonds . united nations department of public information , march 21 , 2001 , archive online 23 october 2013.""conflict resource : from ' curse ' to blessing "" by ernest harsch . africa renewal : january 2007 . the term conflict resource refer to analogous situation involve other natural resource . ",real mining,
